C1:1
C2:1
C3:1
C4:1
C5:1
C6:1
C7:1
D1:1
J6:1
Q1:1
R1:1
R2:1
R4:1
R8:1
REF**:6
TP4056:1
U1:1
U2:1
nRF24L01+:1
